frequency_hz,amplitude,amplitude_db
0.000,0.999992370314,-0.000066271
3125.000,0.99999249637,-0.000065176
6250.000,0.999992872661,-0.000061908
9375.000,0.999993493579,-0.000056514
12500.000,0.999994349862,-0.000049077
15625.000,0.999995428715,-0.000039706
18750.000,0.999996713981,-0.000028542
21875.000,0.999998186353,-0.000015753
25000.000,0.999999823631,-0.000001532
28125.000,1.00000160102,0.000013906
31250.000,1.00000349145,0.000030326
34375.000,1.00000546596,0.000047477
37500.000,1.00000749405,0.000065092
40625.000,1.00000954411,0.000082899
43750.000,1.00001158385,0.000100615
46875.000,1.00001358071,0.000117960
50000.000,1.00001550231,0.000134650
53125.000,1.0000173169,0.000150411
56250.000,1.00001899376,0.000164976
59375.000,1.00002050363,0.000178090
62500.000,1.00002181914,0.000189517
65625.000,1.00002291513,0.000199036
68750.000,1.00002376904,0.000206453
71875.000,1.00002436121,0.000211596
75000.000,1.00002467514,0.000214323
78125.000,1.00002469778,0.000214520
81250.000,1.00002441966,0.000212104
84375.000,1.00002383508,0.000207026
87500.000,1.00002294219,0.000199271
90625.000,1.00002174303,0.000188856
93750.000,1.00002024355,0.000175831
96875.000,1.00001845353,0.000160284
100000.000,1.00001638646,0.000142330
103125.000,1.00001405945,0.000122118
106250.000,1.00001149294,0.000099826
109375.000,1.00000871051,0.000075658
112500.000,1.00000573857,0.000049844
115625.000,1.00000260602,0.000022636
118750.000,0.999999343892,-0.000005699
121875.000,0.999995984966,-0.000034874
125000.000,0.999992563329,-0.000064594
128125.000,0.999989113946,-0.000094556
131250.000,0.999985672211,-0.000124450
134375.000,0.999982273479,-0.000153972
137500.000,0.999978952608,-0.000182817
140625.000,0.999975743501,-0.000210692
143750.000,0.99997267866,-0.000237313
146875.000,0.999969788756,-0.000262415
150000.000,0.999967102222,-0.000285751
153125.000,0.999964644877,-0.000307096
156250.000,0.999962439582,-0.000326252
159375.000,0.999960505934,-0.000343048
162500.000,0.999958860006,-0.000357345
165625.000,0.999957514133,-0.000369035
168750.000,0.999956476747,-0.000378046
171875.000,0.999955752271,-0.000384339
175000.000,0.999955341062,-0.000387911
178125.000,0.999955239415,-0.000388794
181250.000,0.999955439624,-0.000387055
184375.000,0.999955930095,-0.000382795
187500.000,0.999956695524,-0.000376146
190625.000,0.999957717123,-0.000367272
193750.000,0.999958972898,-0.000356364
196875.000,0.999960437977,-0.000343638
200000.000,0.999962084983,-0.000329332
203125.000,0.999963884445,-0.000313701
206250.000,0.999965805244,-0.000297017
209375.000,0.999967815085,-0.000279559
212500.000,0.999969880998,-0.000261614
215625.000,0.999971969842,-0.000243470
218750.000,0.999974048832,-0.000225412
221875.000,0.999976086053,-0.000207716
225000.000,0.999978050971,-0.000190649
228125.000,0.999979914939,-0.000174458
231250.000,0.999981651662,-0.000159373
234375.000,0.999983237648,-0.000145597
237500.000,0.999984652615,-0.000133307
240625.000,0.999985879855,-0.000122647
243750.000,0.999986906548,-0.000113729
246875.000,0.999987724021,-0.000106628
250000.000,0.999988327939,-0.000101383
253125.000,0.999988718444,-0.000097991
256250.000,0.999988900209,-0.000096412
259375.000,0.999988882429,-0.000096567
262500.000,0.999988678738,-0.000098336
265625.000,0.999988307047,-0.000101564
268750.000,0.99998778931,-0.000106061
271875.000,0.999987151217,-0.000111604
275000.000,0.999986421817,-0.000117939
278125.000,0.999985633071,-0.000124790
281250.000,0.999984819349,-0.000131858
284375.000,0.999984016862,-0.000138829
287500.000,0.999983263049,-0.000145377
290625.000,0.999982595925,-0.000151171
293750.000,0.999982053388,-0.000155884
296875.000,0.999981672508,-0.000159192
300000.000,0.999981488799,-0.000160788
303125.000,0.999981535489,-0.000160382
306250.000,0.999981842798,-0.000157713
309375.000,0.999982437239,-0.000152550
312500.000,0.999983340941,-0.000144700
315625.000,0.999984571028,-0.000134015
318750.000,0.999986139043,-0.000120396
321875.000,0.999988050447,-0.000103793
325000.000,0.999990304183,-0.000084217
328125.000,0.999992892347,-0.000061737
331250.000,0.999995799934,-0.000036481
334375.000,0.999999004711,-0.000008645
337500.000,1.00000247719,0.000021517
340625.000,1.00000618072,0.000053685
343750.000,1.00001007171,0.000087481
346875.000,1.00001409999,0.000122470
350000.000,1.00001820927,0.000158162
353125.000,1.00002233773,0.000194021
356250.000,1.0000264188,0.000229468
359375.000,1.00003038195,0.000263890
362500.000,1.00003415368,0.000296650
365625.000,1.00003765859,0.000327092
368750.000,1.0000408205,0.000354555
371875.000,1.00004356375,0.000378382
375000.000,1.00004581443,0.000397930
378125.000,1.00004750175,0.000412585
381250.000,1.00004855944,0.000421772
384375.000,1.00004892703,0.000424964
387500.000,1.00004855127,0.000421701
390625.000,1.00004738739,0.000411592
393750.000,1.00004540032,0.000394333
396875.000,1.00004256578,0.000369714
400000.000,1.00003887125,0.000337625
403125.000,1.0000343168,0.000298067
406250.000,1.00002891562,0.000251154
409375.000,1.00002269444,0.000197119
412500.000,1.00001569357,0.000136312
415625.000,1.00000796672,0.000069198
418750.000,0.999999580418,-0.000003644
421875.000,0.999990613104,-0.000081534
425000.000,0.999981153821,-0.000163697
428125.000,0.999971300468,-0.000249285
431250.000,0.999961157597,-0.000337387
434375.000,0.999950833744,-0.000427063
437500.000,0.99994043825,-0.000517362
440625.000,0.999930077558,-0.000607360
443750.000,0.999919850982,-0.000696193
446875.000,0.999909845921,-0.000783104
450000.000,0.999900132516,-0.000867481
453125.000,0.999890757742,-0.000948918
456250.000,0.999881738947,-0.001027263
459375.000,0.999873056824,-0.001102684
462500.000,0.999864647841,-0.001175733
465625.000,0.999856396143,-0.001247417
468750.000,0.999848124939,-0.001319270
471875.000,0.999839587403,-0.001393438
475000.000,0.999830457132,-0.001472755
478125.000,0.999820318176,-0.001560837
481250.000,0.999808654703,-0.001662163
484375.000,0.999794840339,-0.001782177
487500.000,0.999778127234,-0.001927376
490625.000,0.999757634921,-0.002105411
493750.000,0.999732339023,-0.002325185
496875.000,0.999701059881,-0.002596949
500000.000,0.999662451182,-0.002932407
503125.000,0.999614988652,-0.003344810
506250.000,0.999556958904,-0.003849059
509375.000,0.999486448529,-0.004461797
512500.000,0.999401333502,-0.005201508
515625.000,0.999299269014,-0.006088605
518750.000,0.999177679808,-0.007145521
521875.000,0.999033751108,-0.008396789
525000.000,0.998864420252,-0.009869125
528125.000,0.998666369112,-0.011591502
531250.000,0.998436017386,-0.013595214
534375.000,0.998169516872,-0.015913944
537500.000,0.997862746806,-0.018583812
540625.000,0.997511310337,-0.021643427
543750.000,0.997110532258,-0.025133927
546875.000,0.996655458025,-0.029099011
550000.000,0.996140854188,-0.033584961
553125.000,0.995561210265,-0.038640660
556250.000,0.994910742143,-0.044317600
559375.000,0.994183397059,-0.050669878
562500.000,0.993372860202,-0.057754190
565625.000,0.992472562991,-0.065629810
568750.000,0.991475693047,-0.074358569
571875.000,0.990375205895,-0.084004816
575000.000,0.989163838403,-0.094635377
578125.000,0.987834123961,-0.106319511
581250.000,0.986378409401,-0.119128850
584375.000,0.984788873635,-0.133137336
587500.000,0.983057547987,-0.148421158
590625.000,0.981176338175,-0.165058674
593750.000,0.979137047908,-0.183130332
596875.000,0.976931404016,-0.202718591
600000.000,0.974551083064,-0.223907831
603125.000,0.971987739348,-0.246784265
606250.000,0.969233034196,-0.271435846
609375.000,0.966278666462,-0.297952175
612500.000,0.963116404104,-0.326424401
615625.000,0.959738116713,-0.356945131
618750.000,0.956135808884,-0.389608329
621875.000,0.952301654259,-0.424509225
625000.000,0.948228030118,-0.461744217
628125.000,0.943907552349,-0.501410781
631250.000,0.939333110643,-0.543607378
634375.000,0.934497903737,-0.588433370
637500.000,0.929395474544,-0.635988931
640625.000,0.924019744987,-0.686374969
643750.000,0.918365050361,-0.739693046
646875.000,0.912426173041,-0.796045309
650000.000,0.906198375354,-0.855534415
653125.000,0.899677431439,-0.918263475
656250.000,0.892859657911,-0.984335987
659375.000,0.885741943145,-1.053855788
662500.000,0.87832177503,-1.126927005
665625.000,0.870597266993,-1.203654011
668750.000,0.862567182151,-1.284141387
671875.000,0.854230955432,-1.368493895
675000.000,0.845588713505,-1.456816448
678125.000,0.836641292389,-1.549214093
681250.000,0.827390252617,-1.645791996
684375.000,0.817837891812,-1.746655434
687500.000,0.807987254597,-1.851909797
690625.000,0.797842139714,-1.961660585
693750.000,0.787407104298,-2.076013423
696875.000,0.776687465209,-2.195074075
700000.000,0.765689297392,-2.318948466
703125.000,0.754419429207,-2.447742707
706250.000,0.742885434715,-2.581563130
