Groups:
adc_debug_status_o =, adc_debug_status_o[11], adc_debug_status_o[10], adc_debug_status_o[9], adc_debug_status_o[8], adc_debug_status_o[7], adc_debug_status_o[6], adc_debug_status_o[5], adc_debug_status_o[4], adc_debug_status_o[3], adc_debug_status_o[2], adc_debug_status_o[1], adc_debug_status_o[0],  binary
adc_debug_sample_o =, adc_debug_sample_o[11], adc_debug_sample_o[10], adc_debug_sample_o[9], adc_debug_sample_o[8], adc_debug_sample_o[7], adc_debug_sample_o[6], adc_debug_sample_o[5], adc_debug_sample_o[4], adc_debug_sample_o[3], adc_debug_sample_o[2], adc_debug_sample_o[1], adc_debug_sample_o[0],  binary

Data:
time unit: s, adc_debug_status_o, adc_debug_status_o[11], adc_debug_status_o[10], adc_debug_status_o[9], adc_debug_status_o[8], adc_debug_status_o[7], adc_debug_status_o[6], adc_debug_status_o[5], adc_debug_status_o[4], adc_debug_status_o[3], adc_debug_status_o[2], adc_debug_status_o[1], adc_debug_status_o[0], adc_debug_sample_o, adc_debug_sample_o[11], adc_debug_sample_o[10], adc_debug_sample_o[9], adc_debug_sample_o[8], adc_debug_sample_o[7], adc_debug_sample_o[6], adc_debug_sample_o[5], adc_debug_sample_o[4], adc_debug_sample_o[3], adc_debug_sample_o[2], adc_debug_sample_o[1], adc_debug_sample_o[0], 
0, XXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, XXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, 
1, 111101100010, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
2, 111101101011, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
3, 111101110111, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
4, 111110000010, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
5, 111110001011, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
6, 111110010111, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
7, 111110011110, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
8, 111110101011, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
9, 111110110011, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
10, 111110111111, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
11, 111111001011, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
12, 111111010110, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
13, 111111011111, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
14, 111111101011, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
15, 111111110010, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
