Groups:
adc_debug_status_o =, adc_debug_status_o[11], adc_debug_status_o[10], adc_debug_status_o[9], adc_debug_status_o[8], adc_debug_status_o[7], adc_debug_status_o[6], adc_debug_status_o[5], adc_debug_status_o[4], adc_debug_status_o[3], adc_debug_status_o[2], adc_debug_status_o[1], adc_debug_status_o[0],  binary
adc_debug_sample_o =, adc_debug_sample_o[11], adc_debug_sample_o[10], adc_debug_sample_o[9], adc_debug_sample_o[8], adc_debug_sample_o[7], adc_debug_sample_o[6], adc_debug_sample_o[5], adc_debug_sample_o[4], adc_debug_sample_o[3], adc_debug_sample_o[2], adc_debug_sample_o[1], adc_debug_sample_o[0],  binary

Data:
time unit: s, adc_debug_status_o, adc_debug_status_o[11], adc_debug_status_o[10], adc_debug_status_o[9], adc_debug_status_o[8], adc_debug_status_o[7], adc_debug_status_o[6], adc_debug_status_o[5], adc_debug_status_o[4], adc_debug_status_o[3], adc_debug_status_o[2], adc_debug_status_o[1], adc_debug_status_o[0], adc_debug_sample_o, adc_debug_sample_o[11], adc_debug_sample_o[10], adc_debug_sample_o[9], adc_debug_sample_o[8], adc_debug_sample_o[7], adc_debug_sample_o[6], adc_debug_sample_o[5], adc_debug_sample_o[4], adc_debug_sample_o[3], adc_debug_sample_o[2], adc_debug_sample_o[1], adc_debug_sample_o[0], 
0, XXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, XXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, 
1, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111110000010, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 
2, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111110000010, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 
3, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111110000011, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 
4, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111110000110, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 
5, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111110000111, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 
6, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111110001110, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 
7, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111110010111, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 
8, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111110011111, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 
9, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111110100110, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 
10, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111110101111, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 
11, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111110111011, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 
12, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111111001010, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 
13, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111111010011, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 
14, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111111100010, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 
15, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111111110010, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 
16, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111111111011, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 
17, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000000001010, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 
18, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000000010111, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 
19, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000000011111, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 
20, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000000101110, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 
21, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000000110110, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 
22, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000000111111, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 
23, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000001000110, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 
24, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000001001010, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 
25, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000001010011, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 
26, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000001010010, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 
27, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000001010111, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 
28, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000001010011, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 
29, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000001010011, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 
30, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000001001111, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 
31, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000001001011, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 
32, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000001000011, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 
33, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000000111011, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 
34, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000000110010, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 
