Groups:
adc_debug_status_o =, adc_debug_status_o[11], adc_debug_status_o[10], adc_debug_status_o[9], adc_debug_status_o[8], adc_debug_status_o[7], adc_debug_status_o[6], adc_debug_status_o[5], adc_debug_status_o[4], adc_debug_status_o[3], adc_debug_status_o[2], adc_debug_status_o[1], adc_debug_status_o[0],  binary
adc_debug_sample_o =, adc_debug_sample_o[11], adc_debug_sample_o[10], adc_debug_sample_o[9], adc_debug_sample_o[8], adc_debug_sample_o[7], adc_debug_sample_o[6], adc_debug_sample_o[5], adc_debug_sample_o[4], adc_debug_sample_o[3], adc_debug_sample_o[2], adc_debug_sample_o[1], adc_debug_sample_o[0],  binary

Data:
time unit: s, adc_debug_status_o, adc_debug_status_o[11], adc_debug_status_o[10], adc_debug_status_o[9], adc_debug_status_o[8], adc_debug_status_o[7], adc_debug_status_o[6], adc_debug_status_o[5], adc_debug_status_o[4], adc_debug_status_o[3], adc_debug_status_o[2], adc_debug_status_o[1], adc_debug_status_o[0], adc_debug_sample_o, adc_debug_sample_o[11], adc_debug_sample_o[10], adc_debug_sample_o[9], adc_debug_sample_o[8], adc_debug_sample_o[7], adc_debug_sample_o[6], adc_debug_sample_o[5], adc_debug_sample_o[4], adc_debug_sample_o[3], adc_debug_sample_o[2], adc_debug_sample_o[1], adc_debug_sample_o[0], 
0, XXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, XXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, 
1, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111010011010, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 
2, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111010010011, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 
3, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111010001111, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 
4, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111010000111, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 
5, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111010000010, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 
6, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111001111010, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 
7, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111001110110, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 
8, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111001101110, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 
9, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111001100111, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 
10, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111001011110, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 
11, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111001011010, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 
12, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111001001111, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 
13, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111001001010, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 
14, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111001000011, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 
15, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111000111010, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 
16, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111000110111, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 
17, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111000111110, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 
18, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111001000010, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 
19, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111001001011, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 
20, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111001010010, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 
21, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111001011010, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 
22, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111001100010, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 
23, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111001100111, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 
24, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111001101111, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 
25, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111001110010, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 
26, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111001111011, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 
27, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111001111111, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 
28, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111010000111, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 
29, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111010001110, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 
30, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111010010110, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 
31, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111010011110, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 
32, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111010100010, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 
33, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111010101010, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 
34, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111010110011, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 
35, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111010111010, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 
36, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111010111110, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 
37, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111011000111, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 
38, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111011001011, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 
39, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111011010010, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 
40, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111011010111, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 
41, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111011011111, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 
42, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111011100110, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 
43, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111011101111, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 
44, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111011110111, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 
45, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111011111111, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 
46, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111100000011, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 
47, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111100001011, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 
48, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111100010011, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 
49, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111100011010, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 
50, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111100011110, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 
51, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111100101010, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 
52, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111100101010, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 
53, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111100110010, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 
54, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111100111010, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 
55, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111101000010, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 
56, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111101000111, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 
57, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111101001110, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 
58, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111101010011, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 
59, 000000001101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111101011110, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 
